Tripadvisor,description,address,Excelente,Muybueno,Normal,Malo,Pesimo
Colonia de la Prensa,"Carabanchel hides a surprising art-deco neighbourhood built between 1913 and 1916 to the design by the architect,&nbsp;Felipe Mario López Blanco. &nbsp;This&nbsp;colony, made for writers and journalists from the &ldquo;Los Cincuenta&rdquo;​professional association in order to develop the land between Lower Carbanchel and Upper Carabanchel, was made up of homes and small hotels in the modernist style with a garden. &nbsp;With its main entrance at numbers 61 and 63 Calle Eugenia de Montijo, it is still possible to enjoy its spectacular entrance (a guard post with two splendid modernist control posts-turrets, which was also used to halt the tram and act as a telephone booth) and some of the original 65 chalets.&nbsp;","C/ Eugenia de Montijo, Madrid, España",2,1,3,0,0
Fuente de Orfeo,"The Fountain of Orpheus was originally constructed on Plaza de la Provincia in 1629 but was dismantled in 1865. Over a century later, the municipal housing authority constructed a replica based on the original design at the square. The fountain has an octagonal base with four water spouts issuing from a central column topped by a statue of Orpheus. Standing in front of the Santa Cruz Palace, which formerly housed the Cárcel de Corte prison and is now home to the Ministry of Foreign Affairs, the replica of the fountain recalls the original appearance of the square.","Plaza Provincia s/n, 28012 Madrid, España",2,8,0,1,1
Tribunal de Cuentas,"The main site of the Tribunal de Cuentas (Court of Auditors) is located in this palatial building in Calle Fuencarral, designed by Francisco Jareño y Alarcón and constructed between 1860 and 1863. It was built on the site occupied previously by the manor house of the Count of Aranda, bought subsequently by Ferdinand VII and turned into the Barracks of the Royal Guards, and later into the country home of the Count of Vocinguerra de Arcos.The style of construction steers clear of the conventional classicism of the age, with clean lines and restrained decorative elements. It sprawls over the entire block and is structured around a central courtyard. There is a semi-basement level, an elevated ground floor, a main floor, and two upper floors.","Calle Fuencarral 81, 28004 Madrid, España",3,3,5,2,0
Museo de Escultura al Aire Libre de la Castellana,"The Open Air Sculpture Museum on Paseo de la Castellana, situated under the overpass joining Juan Bravo and Eduardo Dato streets, has an excellent collection of Spanish abstract sculpture. The purpose of the Museum was to recover an urban space for common use, making it a transition, landing, and recreation area, and to bring Spanish abstract art closer to the public, which had been largely unknown until that point. The Museum opened to the public in 1972, and has a surface area of 45,200 sq. feet. It is formed by a wide central area, mainly covered by the overpass panel, and lined with two landscaped strips. To compensate for the uneven land, the Museum is structured over three levels, smoothly descending from Serrano Street to the Paseo de la Castellana.The artists represented in the museum belong to two different generations of the Spanish avant-garde. The first group is the &quot;historic avant-garde&quot;, comprised by those who opened new avenues, different from the established paths of art, during the 20&rsquo;s and 30&rsquo;s, such as Joan Miró, Alberto Sánchez and Julio González. The second group is made up of the generation of the 50&rsquo;s, heirs to the avant-garde spirit that predated the Civil War. One of the most celebrated artworks on display is Eduardo Chillida&rsquo;s The Stranded Mermaid.Engineers José Antonio Fernández Ordóñez and Julio Martínez Calzón, creators of the bridge, and artist Eusebio Sempere, designed the space in order to expose madrilenians to state-of-the-art artistic trends. This Museum also has the unique characteristic of creating an urban setting, where functional elements like bridges, access roads, crosswalks, etc., constitute a whole in which the exhibited sculptures are perfectly integrated.","Paseo Castellana 40 | Debajo del paso elevado donde el Paseo de Eduardo Dato cruza el Paseo de la Castellana., 28046 Madrid, España",1,0,1,0,0
Universidad Central,"Also known as the University of San Bernardo, it was the headquarters for the Madrid university when the University of Alcalá closed and its study courses were moved to the capital in the mid 19th century. It was called Central University from 1851 and has its origins in Liberal Reformist mentality, which intended to do away with the traditional teaching of the universities in the Ancien Régime. At first, it was in the Nobles Seminary in Calle Princesa, later moving to the Salesas Nuevas Convent in Calle de San Bernardo. In 1842, the old Jesuit Novitiate, located in the same street, was confirmed as the definite headquarters for the Central University of Madrid. This building currently houses the Institute of Spain, the organism that encompasses the Royal Academies.The first project for adapting the novitiate to its new use as a university was by Francisco Javier Mariategui; after his death, he was substituted by Narciso Pascual y Colomer, to whom we owe the auditorium built in 1852, which makes good use of the walls of the old Jesuit church.","Calle San Bernardo 47-49, 28015 Madrid, España",1,1,0,1,0
Real Conservatorio Superior de Música,"The centre has its headquarters in a refurbished 18th century pavilion in front of the Reina Sofía National Art Gallery and just a few metres from Atocha station. It is the oldest public music teaching institution in Spain, where most of the leading Spanish musicians and composers of the past two centuries have trained.&nbsp;Since its opening on 12th December 1990, the Music Conservatory Superior has the capacity for 1,400 students and ninety teachers. It consists of various classrooms of different sizes, 27 studio cabins and two auditoriums. The refurbishment has recovered the original layout of the building, adapting it to the needs of a music teaching centre. &nbsp;The interior design has achieved the conjunction of what is functional and aesthetic, where the old and the new come together in perfect harmony.The building houses a museum which, since 2007, has featured an exhibition that offers the public a chance to view, in an organised format and for the first time ever, the collection of musical instruments belonging to Madrid&rsquo;s Royal Conservatory of Music. It includes old instruments, scores, methods and other objects, some of them purchased for use in classes and others donated by former teachers, musicians or private individuals.The Royal Music Conservatory in Madrid was founded by Queen&nbsp;María Cristina in 1830 like the music teaching institutions that existed in other countries, particularly in Italy and France.","Calle de Santa Isabel 53, 28012 Madrid, España",2,0,2,1,0
Basílica Parroquia La Milagrosa,This 900-m2 church built by Juan Bautista Lázaro and Narciso Clavería y de Palacios was opened in 1904. It is one of the best examples of eclectic architecture characteristic of Madrid churches of that time.Its neo-Gothic interior with is simple decoration is a contrast to the ornate exterior decorated with neo-Mudéjar brickwork combined with Gothic elements. It has a three-nave floor-plan. The central nave is the widest and the tallest and is separated from the lateral ones by twelve cruciform pillars symbolizing the twelve apostles. There is no transept and the apse has an ambulatory inspired by the Toledo cathedral alternating the square and triangular vaults. Two towers clearly inspired by the European Gothic flank the main façade.The church has had several transformations to its interior following the initial neo-Gothic style. The most important one was in 1965 when it became a parish.,"Calle de Garcia de Paredes 45 | esquina a Fernández de la Hoz, 28010 Madrid, España",1,2,1,1,0
Bululú2120,"Acting school and theatre located in the district of Arganzuela, offering future actors comprehensive training that allows them to enter the market as flexible, self-sufficient actors with a good technical grounding.&nbsp;It offers acting classes for different ages as well as different levels and degrees of interest. There are courses for beginners as well as for those looking to make a career out of acting. They also offer a wide variety of workshops.","Calle de Tarragona 17 | Entrar por Calle Canarias 16, para acceder a la Sala de Teatro., 28045 Madrid, España",1,0,0,0,0
La Mano de Botero,"Located on the Paseo de la Castellana, next to the fountain of San Juan de la Cruz, you will find this sculpture, which was part of a collection of sculptures by Fernando Botero exhibited temporarily in the Paseo de Recoletos in the year 1994.The Telefónica Foundation bought the last in a series of three identical casts of the sculpture &quot;La Mano&quot;, which it then loaned to the city of Madrid for public exhibition. It is made from 500 kg of bronze, and just like the rest of this artist&#39;s work, it shows his admiration for the opulent forms of Rubens&#39; paintings and the sensuality of curved lines, always contemplated through a lens of excess and studied ingenuity.&nbsp;","Paseo de la Castellana | Plaza de San Juan de la Cruz, 28003 Madrid, España",1,1,3,2,0
Monumento a la Constitución de 1978,"This monument, located in the Bellas Artes gardens, by the Natural History Museum, is a sculptural piece by architect Miguel Ángel Ruiz-Larrea,&nbsp;erected in Madrid in 1982 to pay tribute to the Spanish Constitution of 1978.It is a cubic piece made using a reinforced concrete structure that is covered with sheets of white macael marble. Each visible side of the cube is a concave pyramid leading to the centre, with steps at the bottom. The centre is an empty cube, defined geometrically by the ground and the tops of the different pyramids.","Calle de José Gutiérrez Abascal, 4, 28006 Madrid, España",3,1,4,3,0
Hospital de la Cruz Roja S. Jose y Sta. Adela,"It was as the result of the last will and testament of Adela Balboa y Gómez that this hospital was built in 1893, by architect José Marañón. The works were completed in 1908, to produce a building composed of four rectangular pavilions, set in parallel with each other, two on each side, with a church at the centre of the main pavilion, flanked by two arches, to enable carriages to pass through, leading to a central garden.The centre was called the &ldquo;Casa de Salud San José y Santa Adela&rdquo; in honour of its benefactor. It can be found in&nbsp;Tetuán. In June 1924, construction began on a second building attached to the hospital, known as the Dispensary, which was opened four years later. Subsequently, the Nursing School was built at number 28 of the same street, adding the education of nurses to its healthcare activities; this has characterised the hospital throughout its trajectory.In the 1950s, extensions to the hospital complex were completed, with the construction of the Queen Victoria Pavilion at number 22. This nine-story building had an innovative design and allowed the healthcare services offered to be broadened and facilities to be repositioned.","Avenida Reina Victoria 22-24, 28003 Madrid, España",2,0,0,0,0
Convento Madres Mercedarias,"Located in the district of Malasaña, this convent was founded in 1609 by Father Juan Pacheco de Alarcón, from whom it takes its name. There is evidence of construction of the building from 1656, the church was completed in 1671, and was renovated by the architect Gaspar de la Peña.&nbsp;The temple is home to the remains of the Blessed Mariana of&nbsp;Jesus, co-patron of Madrid, which is opened to the public every 17th April.The church is a fine example of Madrid Baroque architecture of the seventeenth century. The main façade, which faces calle de la Puebla, follows the model created by Fray Alberto de la Madre de Dios in the also Madrid-born Real Monasterio de la Encarnación, but simplifying the composition and substituting cheaper stone brick. The façade is very simple and is decorated with an image of the head of the convent and heraldic motifs.Inside the church stands the the main altar, with a large painting by Juan de Toledo. This is a very characteristic motley composition of courtly baroque of the seventeenth century, and also valuable for being one of the very few works that remain from this artist. By this same artist are the canvases of San Pedro Nolasco and San Antonio de Padua which occupy the bank of the altarpiece and the left side of the altar.On the opposite side of the altar the large Sueño de San José by Juan Montero de Roja. It also has San Antonio Abad by Antonio Arias, completing a substantial collection of Baroque paintings in Madrid.&nbsp;The church also houses the uncorrupted body of the Blessed Mariana&nbsp;of Jesus, the capital&rsquo;s co-patron, which is on display to the public every 17th April.","Calle de la Puebla 1, 28004 Madrid, España",0,1,0,0,0
Instituto Homeopático y Hospital de San Jose,"This was the first hospital in Spain dedicated to homoeopathy and was built using public funds between 1874 and 1878, under the management of architect José Segundo de Lema. It is a U-shaped building (a central body with two lateral pavilions), with four wards and a roofed convalescence room.It measures 3,835 m2 and was declared a&nbsp;Place of Cultural Interest&nbsp;by Decree of 30 January 1997.When it was declared a Place of Cultural Interest in the category Monument in 1997, the Autonomous Community of Madrid was driven to reconstruct it. The works finished in 2008, on the 125th anniversary of the building. The Hospital has an important bibliographical collection on homoeopathy.","Calle Eloy Gonzalo 3 y 5, 28010 Madrid, España",0,1,2,0,0
UCM: Biblioteca Histórica Marqués de Valdecilla,"This library, created in 2000, is the second largest antique archive in Madrid&nbsp;after the National Library. Its mission is to conserve and spread the literary heritage of the UCM prior to the 19th century, and house the university&rsquo;s collection of ancient books, manuscripts and incunabula.The library is located in the building constructed in 1928 at the request of Ramón Pelayo de la Torriente, Marquis of Valdecilla, in Calle del Noviciado, annexed to the former University in Calle de San Bernardo, which has been fully refurbished and fitted out.&nbsp;The literature collection is made up&nbsp; of around 3,000 manuscripts, 741 incunabula, and a volume of prints from the 16th to 18th centuries which is around 100,000. It also has a small collection of loose prints and &nbsp;illustration books.&nbsp;","Noviciado 3, 28015 Madrid, España",1,1,0,0,1
Centro Cultural Islámico de Madrid,"This centre was opened on September 21,&nbsp;1992, and is now considered to be the biggest Islamic cultural institution in Spain. It has since become the house of Islam in Madrid and is frequented by thousands of Muslims and non-Muslims alike who are attracted by its special minaret (one of the two that exist in Spain). As it is situated next to the busy M30 road, it is popularly known as Mezquita de la M30 (the M30 Mosque).The Mosque is the largest in Spain and its interior is inspired by the Alhambra in Granada. The complex of 12,000 m2 is distributed in six floors and includes a school, a library (with contents in Arabic, Spanish, English and French), two exhibition halls, a museum, an auditorium, a gym, houses of the director and the imam, a restaurant and a cafeteria. The façade is decorated with marble from Almeria.","Calle de Salvador de Madariaga 4, 28027 Madrid, España",0,0,1,0,0
Torrespaña,"Popularly known as &#39;El Pirulí&#39;, this RTVE communications tower is one of the icons of Madrid and a reference in its&nbsp;skyline&nbsp;in the north of the city. With a height of 220 metres, various TV channels and radio stations broadcast from this centre.&nbsp;&nbsp; &nbsp;Located in Calle O&rsquo;Donnell, very close to the M-30 ring road, Torrespaña was opened in 1982 to ensure the distribution of the TV signal for the Football World Championship in Spain. A pioneering technique was used in its construction, which consisted of creating a concrete foot with a diameter of 29.50 metres and two metres high, and has been repeated in other European constructions of a similar nature.&nbsp;","C/ O'Donnell, Madrid, España",1,0,8,3,0
Medialab-Prado,"Medialab-Prado is a program part of the Department of Arts, Sports and Tourism of the Madrid City Council. It is conceived as a citizen laboratory for the production, research and dissemination of cultural projects that explore collaborative forms of experimentation and learning that have emerged from digital networks. Medialab-Prado offers: - A permanent spacefor information, consulting and encounters, attended by cultural mediators, who explain the nature of the space and connect different people and projects with each other.- Open calls for the presentation of proposals and the participation in the development of collaborative projects.- Activities program that comprises workshops, seminars and debates, as well as the meetings of different work groups, exhibitions, conferences and other events such as concerts and performances.- A work atmosphere dedicated to the encounter, cooperation and exchange, where there is room for life and affects; and informality and closeness are appreciated. Medialab-Prado is a Program part of the Department of Arts, Sports and Tourism of the Madrid City Council.Since April 2013 it is located in the Serrería Belga, one of the few industrial architecture buildings that survive in the city of Madrid. In this space workshops, open laboratories, meetings and lectures take place. The digital facade of 10x15 meters facing north towards Letras square features an interactive projects program.","Calle de La Alameda 15, 28014 Madrid, España",0,1,2,0,1
Capilla Cristo de los Dolores,"This pre-Baroque chapel of the Venerable Third Order of Saint Francis has been a National Monument since 1969, on account of its singular beauty and decoration, including the baldachin that houses the image of Christ of Sorrows, above the main altar, designed by Sebastián de Herrera and created in 1664 by Juan Ursularre Echevarría.In 1608, the Brotherhood of the Third Order was officially founded in Madrid, joined by illustrious figures such as Cervantes, Lope de Vega, Quevedo and Calderón de la Barca. To celebrate their meetings and acts of worship, brothers of the Order decided in 1613 to build a modest chapel that, once completed, was insufficient on account of the substantial growth experienced by the Brotherhood during those years. And so they decided to build a larger church, which is the one that exists today.The new chapel was built between 1662 and 1668 by the builder Marcos López, following the plans of the Jesuit Francisco Bautista and the painter and sculptor Sebastián de Herrera. It has a rectangular layout with a single nave, no lateral chapels, and no transversal nave.","Calle de San Buenaventura 1 | 28005 Madrid, 28005 Madrid, España",0,0,0,1,0
Casa de Cervantes,"Cervantes lived at number 2 of the street that is now named Calle Cervantes (previously Calle de Francos), where curiously the house of Lope de Vega is situated. The remains of Cervantes, in turn, rest in the Convent of the Trinitarias, which is situated in the street Calle Lope de Vega. Cervantes died in this latter house in the street Calle del León, corner with Calle Cervantes. In the year 1833, the proprietor of the building, Luis Franco, wished to demolish the house, which was in a ruinous condition, in order to build a new one. On 23 April of that same year, when the demolition of the house in question was about to begin, Ramón de Mesonero Romanos wrote in the only literary newspaper of the era a short article in memory of the writer and on the matter of the demolition. This article attracted the attention of King Fernando VII, who proposed that the work be suspended so that the State could purchase the building. But the proprietor refused to cede and the demolition was carried out. Once the new building had been finished - the entrance of which was no longer in Calle del León but in Calle Francos - a relief was placed on the façade with the bust of Cervantes and an inscription commemorating his stay and death in that place. Thereupon the name Calle de Francos was changed to that of Calle de Cervantes, and thus it remains.","Calle Cervantes 2, 28014 Madrid, España",0,0,1,1,0
Colegio de Nuestra Senora de Loreto,"Nuestra Señora de Loreto School was originally founded in 1541 by King Philip II on Calle Atocha, for the education of poor girls. King Philip IV later transformed it into a school for the education of daughters of the military and employees at the Royal Palace.Its current headquarters in the&nbsp;Salamanca District&nbsp;were built between 1889 and 1898 by architect Juan Bautista Lázaro in a rationalist style, brick with neo-gothic influence. This style was typical of late 19th-century Madrid churches.","Calle Principe de Vergara 42, 28001 Madrid, España",1,0,4,1,2
Escenario Puerta del Angel,"The Escenario Puerta del Ángel is a vast esplanade covering an area of 200,000 m2&nbsp; of open air space, located in the Casa de Campo Trade Fair Park. It hosts shows in marquees and tents, as well as concerts, and&nbsp; business or family events with unique stagings and set-ups. It is regularly chosen by the Cirque du Soleil when they come to perform their shows in Madrid.","Calle Herradura, 3, 28025 Madrid, España",15,16,11,22,47
Sociedad Cervantina - Imprenta del Quijote,"In this building you can find the printing workshops of Juan de la Cuesta, where the first edition of Quijote was printed. The building was previously known as antiguo Hospitalillo del Carmen and was later given the name of Editora del Quijote or Imprenta del Quijote. It is located on la Calle Atocha, near the Literary Quarter.The hospital was established in 1852 in the old school for orphaned children, for infirm and incurable men and placed under the patronage of Our Lady of Carmen, running until 1949. After many years of neglect, it was emptied inside, keeping the façade intact, and now houses the Cervantes Society.&nbsp;This institution was founded in 1953, an initiative of the illustrious Cervantes expert Luis Astrana Marín, author of the monumental biography Vida ejemplar y heroica de Miguel de Cervantes, along with important figures from the worlds of culture, art and literature of the time.Today, this emblematic building, declared a national monument in 1981, has become a dynamic cultural space and is considered the sancta sanctorum&nbsp;of Spanish Cervantine studies.&nbsp;","Atocha 87, 28012 Madrid, España",0,0,0,0,0
Iglesia Ortodoxa Rusa de Santa Maria Magdalena,"Built in 2013, this Neo-byzantine style temple, headquarters of the Russian Orthodox Church in Madrid, has been considered to be a cathedral since 2019. The impressive and stylish building, which rises up on&nbsp; a plot of 756 square metres, has five gold domes crowned by five crosses, &nbsp;raised on some white turrets.Close to the Pinar del Rey metro station, the orthodox cathedral offers different religious &nbsp;services throughout the week and offers mass in the Orthodox &nbsp;rite on Saturday evenings and Sunday mornings, as well as some Wednesday and Friday evenings. Furthermore, there is a free guided visit in Spanish at 5pm on Saturdays.The temple not only brings together loyal Russians in Madrid, but also other &nbsp;Slavic believers, so some prayers are said in different languages during the services (Church Slavonic, Armenian, Georgian, Moldovan, English, Ukrainian and Spanish).","Calle Gran Via de Hortaleza 48, 28043 Madrid, España",3,1,1,0,0
Teatro Real,"The Teatro Real has this space dedicated to flamenco, inaugurated in 2018, in which the Flamenco Real cycle is held, made up of regular performances of this Spanish artistic genre.It is a novel experience because it will become a place that will promote regular flamenco performances.","Plaza de Isabel II, 29013 Madrid, España",232,127,30,19,20
Cripta de la Almudena,"Below the&nbsp;Almudena Cathedral lies this beautiful Romanesque Revival church with a Latin-cross plan. It features over 400 columns, each crowned by a different capital adorned with biblical figures, nature scenes and even the symbol of Madrid, the bear and the strawberry tree.&nbsp;&nbsp;It has the same dimensions as the cathedral and is considered to be the largest crypt in the country. The entrance, which is located in front of the Arab Wall, is made up of three semi-circular arches. The resting place of some of Spain&rsquo;s most noble families, and to King Alfonso XII&#39;s first wife María de las Mercedes de Orléans, the crypt has 20 chapels, each with its own beautiful stained-glass window, as well as a number of ornate artworks. Particularly noteworthy is the painting of Our Lady of the Lily, possibly the oldest image of the Virgin in the city.&nbsp;","Calle Mayor 90, 28013 Madrid, España",77,40,14,7,3
Monumento Victimas 11M,"This monument, which is a memorial to the victims of the terrorist attacks in Madrid in March 2004,&nbsp;is located alongside Atocha train station, where some of the attacks occurred.&nbsp;This monument to the victims of the Madrid terrorist bombings can be seen on the station&#39;s concourse.With a glass cylindrical structure, a height of 11 metres and a diameter of 9.5 metres, its interior hides a large open-plan room on whose walls messages of condolence are written in several languages, left by anonymous citizens in the vicinity the terrorist attacks. &nbsp;","Avda.Ciudad Barcelona,2, 28007 Madrid, España",1,1,1,1,0
Palacio de Cibeles,"This great viewing point which spans the large tower of the Cibeles Palace&nbsp;enables visitors to admire a 360 degree panoramic view of the city of Madrid. The convergence of the Gran Vía and Calle Alcalá, Paseo de la Castellana or El Retiro Park are some of the tourist attractions that can be admired from a privileged position, whereby maps are provided to help citizens and visitors recognise and identify the city&rsquo;s most iconic buildings.Buy tickets","Plazade la Cibeles, 1, 28014 Madrid, España",1642,1067,200,28,18
Instituto del Patrimonio Historico Espanol,"Listed as a Cultural Interest Site in 2001, this building is one of the most significant works of contemporary Spanish architecture. Located in the Ciudad Universitaria, it was commissioned to architects Fernando Higueras and Antonio Miró in 1965, who created a four-storey reinforced concrete, which stands out for its circular plan and a cornice with&nbsp; &nbsp;sharp spikes, whereby it is popularly known as the Crown of Thorns. &nbsp;","Calle Greco 4, 28011 Madrid, España",3,0,1,0,0
Monumento a Cristóbal Colón,"The monument dedicated to the man who discovered America presides over the Plaza de Colón. 17 meters tall, it is situated in the center of an island between the streets of Paseo de Recoletos, Paseo de la Castellana, Génova and Serrano.The three-meter tall statue of Christopher Columbus is work of Jerónimo Suñol, carved out of Carrara marble and set atop a high pedestal. Columbus is wearing a tunic and cape and shown holding the flag of Castile, which is resting on a globe in one hand while the other hand is open and outstretched in front of him. The gothic-inspired base features reliefs on all four sides, depicting scenes related with the discovery of America.Behind this statue, you can see the Jardines del Descubrimiento and just a stone&rsquo;s throw away the National Library and the National Archaeological Museum.","Plaza de Colon, Madrid, España",20,31,27,0,0
Sabrina Amrani Gallery,"A gallery opened in June 2011 represents artists across East and West, eliminating cultural gaps and promoting a dialogue exchange and intellectual growth.&nbsp;The distinctive signs of Sabrina Amrani Gallery are proposals that invite to think about the society and the individual: socio-political issues, identity, space, architecture&hellip; and the discovery of talented artists all around the world. Although the gallery represents emergent and established artists of any nationality, the project pays particular attention to the new voices that are emerging in the Global South.The gallery regularly organizes and participates in non-profit activities such as screenings, workshops, education programs, public lectures and panel talks with prominent and relevant names in its space or outside its walls in collaboration with various institutions and art organizations.","Calle Madera 23, 28004 Madrid, España",0,2,0,0,0
Parroquia de Nuestra Senora de Guadalupe,"This catholic church is also known as the Church of the Mexicans and it is the work of the architects Enrique de la Mora y Palomar and José Ramón Azpiazu, and the engineers José Antonio Torroja&nbsp;and&nbsp;Félix Candela. It has an octagonal floor plan inscribed in a circumference of a diameter of 53.74 m.It features a very characteristic roof that consists of eight 4 cm-thick hyperbolic paraboloids. The side closures are made up of folded plates combined with 2 cm stained-glass windows.&nbsp; Four hollow central pillars support the roof and the lateral surfaces are also formed by paraboloids.It is a processional church where the altar is situated in the center and the congregation spreads around the stairs that form an amphitheater. This leaves a wide aisle at the higher lever where people can move around comfortably.","Calle Puerto Rico 1, 28016 Madrid, España",4,0,1,0,1
El Mirador,"Located at the PAU de Sanchinarro, in Valdefuentes neigborhood (Hortaleza district), it is a postmodern housing block, developed by the Dutch architectural firm of MVRDV in collaboration with the Madrid-based architect Blanca Lleó.The building is 63.4 meters tall and has 21 floors and 155 apartments. The most prominent feature is the big central opening with a common area with gardens that also serves as a lookout thanks to the views of the Guadarrama mountains.","C/ Princesa de Eboli 13-21, Madrid, España",2,2,5,1,4
Estatua de Apolo,"Apollo, God of the arts, medicine, and poetry, and enemy of darkness and pursuer of crime, represents the enlightened spirit wanted by the Bourbons for the Salon del Prado to encourage the development of culture and science.Due to the importance of the project, its execution included several sculptors. The final model was constructed by Manuel Álvarez in 1781, but does not conclude the figure of Apollo, who died in 1797. King Carlos IV and his wife accelerated the completion of the project because they wanted to inaugurate the monument on the occasion of the wedding of the then-Prince of Asturias, would-be King Fernando VII, with María Antonia de Nápoles. Finally, the fountain of Apollo was completed in 1802.This statue of the God of music is considered one of the best classics erected in Spain by the elegance of the proportions and the captuere of divine movement and balance. Apollo appears carrying a lyre and accompanied by allegorical sculptures of the four seasons, since, as the Sun God, he is responsible for the birth and change of seasons.","Paseo Prado s/n, 28014 Madrid, España",12,17,7,0,0
Monumento a Felipe IV,"Work on this sculptural ensemble in the centre of the gardens in Plaza de Oriente began in the seventeenth century. It is dedicated to King Philip IV and the main statue, in bronze, represents the king on horseback, in a difficult composition which is the work of Italian sculptor Pietro Tacca. He based it on a design by Velázquez and Galileo Galilei acted as scientific advisor to ensure the stability of the statue. This was no simple matter, as it was the first equestrian statue in the world supported on the back legs of a horse (the tail provides inconspicuous additional support). This design was chosen because Philip IV wanted a sculpture that was better than that of his father Philip III in Plaza Mayor. It was thus decided that a statue should be created featuring a horse on its hind legs, something that had never been achieved before.The statue stood in various sites until 1843, during the reign of Isabella II, when it was transferred from the Retiro park to its present location, as recorded on the two marble plaques on the pedestal. It was then that the two bas-relief panels were added at the base of the statue. One shows Philip IV presenting the Cross of Santiago to Velázquez and the other is an allegorical reference to the monarch&#39;s role as a patron of the arts. The ensemble also includes two large shell-shaped fountains, a figure that depicts a river, and four bronze lions.","Plaza de Oriente, Madrid, España",27,39,13,0,0
Plaza de la Cruz Verde,"This fountain, also known as Fountain of Diana, takes its name from the square, a wooden cross painted green being the sign identifying places where the Inquisition carried out executions. The sculptures of Diana and the dolphins were originally part of the Fuente de Puerta Cerrada. It was inaugurated in 1850. The fountain stands against the wall of the garden of the Bernardas del Santísimo Sacramento convent. The style is by no means baroque and its simplicity is more in keeping with a conventional neighbourhood fountain. In the upper part of the central panel, the city&rsquo;s arms, showing the bear and the strawberry tree, can be seen, with the spout of the fountain below them. The fountain is topped by the figure of Diana the huntress, wearing a short tunic, together with two dolphins.","Plaza de la Cruz Verde, Madrid, España",3,0,7,2,2
Sala de exposiciones Centro Centro,"The stunning Palacio de Cibeles is not only the headquarters of Madrid City Council, it is also home to CentroCentro. A recent addition to the renowned&nbsp;Paseo del Arte, the cultural centre boasts a packed programme of activities that revolve&nbsp;around the city and includes exhibitions, workshops, conferences and concerts.Next to the entrance hall, where you&rsquo;ll find interactive information screens, there is a colourful lounge where visitors can sit back and read, connect to WiFi or enjoy some people-watching through the large windows that look out onto Plaza de Cibeles. The building has two restaurants: Colección Cibeles&nbsp;on the ground floor and Palacio de Cibeles on the 6th. Both are open Monday to Sunday.Also on the sixth floor is&nbsp;Terraza Cibeles, a great rooftop bar where you can relax with a pre-dinner drink or mid-afternoon snack as you take in the wonderful views of the Plaza de Cibeles and the Madrid skyline.For even more breath-taking vistas, head up to the Mirador observation deck on the 8th floor.The Palace, designed by acclaimed architects Antonio Palacios and Joaquín Otamendi, was opened in 1919 and originally served as the Head Post Office. Declared a Cultural Heritage Monument in 1993, it has a Functionalistic design and is one of the oldest examples of Modernist architecture in Spain.","Plaza de Cibeles, Ayuntamiento, Madrid, España",9,7,7,0,1
Madrid Arena,"Spectacular venue, ideal for exhibitions, sports events, corporate events, shows, and any major event in general. With a circular floor plan crowned by an impressive dome, it is extremely versatile in terms of circulation and usage.The space is distributed over three interconnected floors, and it is linked via a tunnel to the Glass Pavilion and also the Satelite Madrid Arena Pavilion, thereby multiplying its possibilities. It has retractable stands that can vary the total area of the central floor space from 1,000 to 2,542 m2, making this venue extremely adaptable to all requirements.The pavilion offers 10,276 seats arranged in a raked layout with three retractable tiers. This makes the venue extremely versatile, since it can combine a grandstand and a large spacious floor area. It has dressing rooms and changing rooms, a café, bars, and large communal areas, auxiliary rooms, press rooms, LED screens, box offices, large loading and unloading bays, with vehicle access to the main floor area, and outdoor space to park lorries and set up mobile units.","Avenida Portugal s/n | Casa de Campo, 28011 Madrid, España",2,5,6,4,20
Iglesia de Nuestra Señora del Carmen y San Luis,"The church belonged to the old San Dámaso Carmelite convent, founded on 17 January 1575. Better known as the Carmen Calzado convent, it was built thanks to the patronage of Philip II, Princess Joanna of Austria, and the town of Madrid itself, which had the street widened and improved the site. When it was secularised and disentailed in 1836, only the church continued to function. This beautiful church is laid out in the form of a Latin cross with a single nave and chapels on either side. It was built between 1611 and 1640 by the architect Miguel de Soria, assisted after 1631 by the sculptor Mateo de Cortray, who produced the side walls.","Calle de Tetuán, 23, 28013 Madrid, España",10,16,5,0,0
Convento de las Trinitarias Descalzas de San Ildefonso,"Located in the Barrio de las Letras, this convent was initially founded in 1612 around a modest church, where the writer Miguel de Cervantes was buried in 1616. This building was demolished, and architect Marcos López built the current Baroque church in 1668. Work began on the convent in 1718.The small church has a Latin cross floor plan with a single nave. Inside there is a large Baroque altar painting. The convent, in turn, has a courtyard, cloisters and cells. It was renovated in subsequent years but has always retained its restrained facade.In 2015, the remains of Miguel de Cervantes were found, and they were laid to rest in a monument built in his honour inside the church, which can be visited.","Calle Lope de Vega 18, 28014 Madrid, España",6,10,4,0,1
